
region,gdp_per_capita_k,urban_share,education_index,elderly_share,unemployment_rate,internet_penetration,infrastructure_exp_per_cap,digital_inequality_index
Region_1,799.3428306022465,0.7447514672329019,0.43727532183988543,0.1063547816860238,0.030834255663742885,0.5688187719961998,25.88775148158159,0.8313468317085155
Region_2,672.347139765763,0.5860991209307408,0.8934434683002587,0.12697285674832612,0.09128967630930789,0.8141081743059297,52.769507877984566,0.12501403481277457
Region_3,829.5377076201385,0.3793248526491062,0.7861223846483287,0.10785729642168357,0.08008932037785348,0.6338915663596266,53.89824191372635,0.45388338363992453
Region_4,1004.6059712816051,0.6218649915723256,0.4993578407670862,0.2591026028159451,0.05665293725648762,0.7661529152967896,61.72734307665966,0.4972012431249855
Region_5,653.1693250553328,0.32235253872489195,0.4027610585618012,0.17858899526908167,0.04438384408004194,0.7667648553804474,31.445739336828773,0.612430744695203
Region_6,653.1726086101639,0.8910582613512084,0.807730714227417,0.22714267279117567,0.07051382056843536,0.7178873420373793,30.193150803735854,0.3961190740572333
Region_7,1015.8425631014783,0.46820698804001093,0.7534286719238086,0.32689161848152326,0.1431491644695023,0.49514488502720416,57.829123484253465,0.7881747761286901
Region_8,853.4869458305818,0.7306394848300882,0.7645035840204937,0.16232305728721874,0.06878435184249063,0.867651247794619,54.45477009849779,0.11071416120079135
Region_9,606.1051228130095,0.5026121994581171,0.785635173342973,0.2025957307589074,0.09225487460920392,0.6103900324858679,53.75739275518815,0.5937400017704425
Region_10,808.5120087171929,0.638044213765577,0.4370223258670452,0.28888778463576215,0.11436227506742133,0.5432592551999271,55.19672314245464,0.986273846470104
Region_11,607.3164614375075,0.6553616815731318,0.5792328642721363,0.15719954137290562,0.07363555228551527,0.47038757077738197,39.79962917632264,0.9585620712675266
Region_12,606.8540492859486,0.4201553960915926,0.4579345297625649,0.11924497745719825,0.14661384992651527,0.7454464715941209,53.48380545741505,0.6172655229708511
Region_13,748.3924543132068,0.930230008046963,0.8315517129377967,0.172437863228442,0.14549367539305336,0.7887821809211412,54.39608709948022,0.23798816340840342
Region_14,317.34395106844045,0.8038363351847244,0.711649063413779,0.1403053218135011,0.060213875499043695,0.4582939144639281,39.28472872960448,0.9255171428906876
Region_15,355.01643349739345,0.9106743120167229,0.5654490124263246,0.33242441308564324,0.08966982070708625,0.7060465291496405,77.98661766717134,0.7371840454626557
Region_16,587.5424941518055,0.8816377777779716,0.43177917514301184,0.3020300948911042,0.06610539717801237,0.5632478875989689,57.10749381367681,1.0
Region_17,497.43377593311527,0.6886349862272052,0.5554911608578311,0.25835093912760587,0.0641808593252961,0.7725863952047249,32.13044754196027,0.5606211695027556
Region_18,762.8494665190548,0.8992182527650259,0.5625916610133735,0.3178651475469294,0.03442643368254393,0.5371832145024957,59.84830412950745,0.8933590459531969
Region_19,518.3951848957578,0.35752012633374763,0.7648030891690321,0.30091801922477857,0.10314772007758762,0.7954688690512329,35.379774946590175,0.3828567253426308
Region_20,417.53925973294173,0.42738886057244435,0.7187787356776065,0.14664251472150897,0.09032148278746338,0.6433676731502687,61.806269056136784,0.6102539233941011
Region_21,993.1297537843109,0.3293977377918497,0.8436063712881633,0.3231397496224944,0.03617745014999872,0.9183649943683672,67.37893368511106,0.0
Region_22,654.8447399026928,0.5114647149961218,0.6361074625809746,0.23483556047891266,0.06343757570839337,0.5187604720729966,37.68976522472434,0.8577759713645643
Region_23,713.5056409375848,0.5526402382981632,0.4597971229691509,0.30186003879101564,0.13899190631599845,0.6205331755251292,64.45064193866483,0.8791468492404152
Region_24,415.0503627573086,0.4763768706530323,0.7566223936114975,0.3240228249808733,0.05874742688003669,0.5067367606202945,56.191713904047475,0.8769163971967817
Region_25,591.1234550949634,0.838679380948754,0.7803925243084487,0.17950086874296595,0.04738738465094677,0.9123468091392813,62.33090239991735,0.08762166435237749
Region_26,722.1845179419732,0.531889662350833,0.6806385987847481,0.1275129811319192,0.08873433123330757,0.8886696766904905,78.4518947398092,0.1644115655982152
Region_27,469.80128451553946,0.48260743129679745,0.7854835899772805,0.15698379063548543,0.14827805449327208,0.5789708138575778,46.31917825995694,0.6721204187304491
Region_28,775.1396036691344,0.6527524540528614,0.6468977981821954,0.20677694715656408,0.05904663258138004,0.7799920230170895,38.693957534637654,0.38397077493148085
Region_29,579.872262016239,0.3916007462335957,0.661366414690997,0.3045036914806233,0.11065626568870542,0.8586111001006078,36.65728355561715,0.35435975431311995
Region_30,641.6612500413446,0.8214280374901257,0.6137705091792749,0.31518264581408584,0.1213943538394461,0.7276004057997312,37.762845725518424,0.59898790696208
